,id,ac,km
477,TCGA-BQ-5892-01A-11R-1592-07,0,1
478,TCGA-GL-A9DD-01A-11R-A37K-07,3,0
479,TCGA-B1-5398-01A-02R-1592-07,2,3
480,TCGA-IA-A40U-01A-11R-A24Z-07,4,3
481,TCGA-4A-A93Y-01A-11R-A37K-07,2,0
482,TCGA-BQ-5884-01A-11R-1592-07,4,3
483,TCGA-AL-3473-01A-01R-1193-07,0,1
484,TCGA-BQ-7061-01A-11R-1965-07,4,2
485,TCGA-KV-A6GE-01A-11R-A31O-07,4,2
486,TCGA-DW-7834-01A-11R-2139-07,2,3
487,TCGA-A4-A48D-01A-11R-A24Z-07,2,3
488,TCGA-5P-A9KF-01A-11R-A42S-07,4,3
